Year,Candidate,Party,State,Votes,Pct
1832,"Clay, Henry",National Republican,Alabama,5,0.0349870547897278
1832,"Wirt, William",Anti-Masonic,Alabama,0,0.0
1828,Total,Total,Alabama,18618,100.0
1828,"Jackson, Andrew",Democratic,Alabama,16736,89.89150284670748
1828,"Adams, John Quincy",National Republican,Alabama,1878,10.087012568482114
2016,Total,Total,Alaska,318608,100.0
2016,"Clinton, Hillary",Democratic,Alaska,116454,36.550871290111985
2016,"Trump, Donald",Republican,Alaska,163387,51.281512077537286
2016,"Johnson, Gary",Libertarian,Alaska,18725,5.877128006829709
2012,Total,Total,Alaska,300495,100.0
2012,"Obama, Barack",Democratic,Alaska,122640,40.81265911246443
2012,"Romney, Mitt",Republican,Alaska,164676,54.801577397294466
2008,Total,Total,Alaska,326197,100.0
2008,"Obama, Barack",Democratic,Alaska,123594,37.88937359938932
2008,"McCain, John",Republican,Alaska,193841,59.4245195388063
2004,Total,Total,Alaska,312598,100.0
2004,"Kerry, John",Democratic,Alaska,111025,35.51686191210437
2004,"Bush, George W.",Republican,Alaska,190889,61.065329912539426
2000,Total,Total,Alaska,285560,100.0
2000,"Gore, Al",Democratic,Alaska,79004,27.666339823504693
2000,"Bush, George W.",Republican,Alaska,167398,58.62095531587057
2000,"Nader, Ralph",Green,Alaska,28747,10.066886118503993
1996,Total,Total,Alaska,241620,100.0
1996,"Clinton, Bill",Democratic,Alaska,80380,33.26711364953233
1996,"Dole, Bob",Republican,Alaska,122746,50.80125817399222
1996,"Perot, Ross",Reform,Alaska,26333,10.898518334574952
1992,Total,Total,Alaska,258506,100.0
1992,"Clinton, Bill",Democratic,Alaska,78294,30.28711132430195
1992,"Bush, George H.W.",Republican,Alaska,102000,39.45749808515083
1992,"Perot, Ross",Independent,Alaska,73481,28.42525898818596
1988,Total,Total,Alaska,200116,100.0
1988,"Dukakis, Michael",Democratic,Alaska,72584,36.2709628415519
1988,"Bush, George H.W.",Republican,Alaska,119251,59.59093725639129
1984,Total,Total,Alaska,207605,100.0
1984,"Mondale, Walter",Democratic,Alaska,62007,29.867777751017556
1984,"Reagan, Ronald",Republican,Alaska,138377,66.6539823221984
1980,Total,Total,Alaska,158445,100.0
1980,"Carter, Jimmy",Democratic,Alaska,41842,26.407901795575754
1980,"Reagan, Ronald",Republican,Alaska,86112,54.34819653507526
1980,"Anderson, John",Independent,Alaska,11155,7.0402978951686705
1976,Total,Total,Alaska,123574,100.0
1976,"Carter, Jimmy",Democratic,Alaska,44058,35.65313091750692
1976,"Ford, Gerald",Republican,Alaska,71555,57.90457539611892
1972,Total,Total,Alaska,95219,100.0
1972,"McGovern, George",Democratic,Alaska,32967,34.62229176949978
1972,"Nixon, Richard",Republican,Alaska,55349,58.12810468498934
1968,Total,Total,Alaska,83035,100.0
1968,"Humphrey, Hubert",Democratic,Alaska,35411,42.645872222556754
1968,"Nixon, Richard",Republican,Alaska,37600,45.28210995363401
1968,"Wallace, George",American Independent,Alaska,10024,12.072017823809237
1964,Total,Total,Alaska,67259,100.0
1964,"Johnson, Lyndon (LBJ)",Democratic,Alaska,44329,65.9079082353291
1964,"Goldwater, Barry",Republican,Alaska,22930,34.0920917646709
1960,Total,Total,Alaska,60762,100.0
1960,"Kennedy, Jack (JFK)",Democratic,Alaska,29809,49.05862216516902
1960,"Nixon, Richard",Republican,Alaska,30953,50.94137783483098
1960,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Alaska,0,0.0
1956,Total,Total,Alaska,0,0
1956,"Stevenson, Adlai",Democratic,Alaska,0,0
1956,"Eisenhower, Dwight",Republican,Alaska,0,0
1956,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Alaska,0,0
1952,Total,Total,Alaska,0,0
