Year,Candidate,Party,State,Votes
,"Greeley, Horace",Liberal Republican/Democratic,Alaska,
,"Grant, Ulysses",Republican,Alaska,
1868,Total,Total,Alaska,
,"Seymour, Horatio",Democratic,Alaska,
,"Grant, Ulysses",Republican,Alaska,
1864,Total,Total,Alaska,
,"McClellan, George",Democratic,Alaska,
,"Lincoln, Abraham",National Union (Republican),Alaska,
1860,Total,Total,Alaska,
,"Douglas, Stephen",(Northern) Democratic,Alaska,
,"Lincoln, Abraham",Republican,Alaska,
,"Breckinridge, John",Southern Democratic,Alaska,
,"Bell, John",Constitutional Union,Alaska,
1856,Total,Total,Alaska,
,"Buchanan, James",Democratic,Alaska,
,"Fremont, John",Republican,Alaska,
,"Fillmore, Millard","Fillmore, Millard",Alaska,
1852,Total,Total,Alaska,
,"Pierce, Franklin",Democratic,Alaska,
,"Scott, Winfield",Whig,Alaska,
,"Hale, John",Free Soil,Alaska,
1848,Total,Total,Alaska,
,"Cass, Lewis",Democratic,Alaska,
,"Taylor, Zachary",Whig,Alaska,
,"Van Buren, Martin",Free Soil,Alaska,
1844,Total,Total,Alaska,
,"Polk, James",Democratic,Alaska,
,"Clay, Henry",Whig,Alaska,
,"Birney, James",Liberty,Alaska,
1840,Total,Total,Alaska,
,"Van Buren, Martin",Democratic,Alaska,
,"Harrison, William",Whig,Alaska,
1836,Total,Total,Alaska,
,"Van Buren, Martin",Democratic,Alaska,
,"Harrison, William",Whig,Alaska,
,"White, Hugh",Whig,Alaska,
,"Webster, Daniel",Whig,Alaska,
1832,Total,Total,Alaska,
,"Jackson, Andrew",Democratic,Alaska,
,"Clay, Henry",National Republican,Alaska,
,"Wirt, William",Anti-Masonic,Alaska,
1828,Total,Total,Alaska,
,"Jackson, Andrew",Democratic,Alaska,
,"Adams, John Quincy",National Republican,Alaska,
2016,Total,Total,Arizona,2604657
,"Clinton, Hillary",Democratic,Arizona,1161167
,"Trump, Donald",Republican,Arizona,1252401
,"Johnson, Gary",Libertarian,Arizona,106327
2012,Total,Total,Arizona,2306559
,"Obama, Barack",Democratic,Arizona,1025232
,"Romney, Mitt",Republican,Arizona,1233654
2008,Total,Total,Arizona,2303838
,"Obama, Barack",Democratic,Arizona,1034707
,"McCain, John",Republican,Arizona,1230111
2004,Total,Total,Arizona,2016102
,"Kerry, John",Democratic,Arizona,893524
,"Bush, George W.",Republican,Arizona,1104294
2000,Total,Total,Arizona,1534113
,"Gore, Al",Democratic,Arizona,685341
,"Bush, George W.",Republican,Arizona,781652
,"Nader, Ralph",Green,Arizona,45645
1996,Total,Total,Arizona,1404405
,"Clinton, Bill",Democratic,Arizona,653288
,"Dole, Bob",Republican,Arizona,622073
,"Perot, Ross",Reform,Arizona,112072
1992,Total,Total,Arizona,1487006
,"Clinton, Bill",Democratic,Arizona,543050
,"Bush, George H.W.",Republican,Arizona,572086
,"Perot, Ross",Independent,Arizona,353741
1988,Total,Total,Arizona,1171873
,"Dukakis, Michael",Democratic,Arizona,454029
,"Bush, George H.W.",Republican,Arizona,702541
1984,Total,Total,Arizona,1025897
,"Mondale, Walter",Democratic,Arizona,333854
,"Reagan, Ronald",Republican,Arizona,681416
1980,Total,Total,Arizona,873945
,"Carter, Jimmy",Democratic,Arizona,246843
,"Reagan, Ronald",Republican,Arizona,529688
,"Anderson, John",Independent,Arizona,76952
1976,Total,Total,Arizona,742719
,"Carter, Jimmy",Democratic,Arizona,295602
,"Ford, Gerald",Republican,Arizona,418642
1972,Total,Total,Arizona,653505
,"McGovern, George",Democratic,Arizona,198540
,"Nixon, Richard",Republican,Arizona,402812
1968,Total,Total,Arizona,486936
,"Humphrey, Hubert",Democratic,Arizona,170514
,"Nixon, Richard",Republican,Arizona,266721
,"Wallace, George",American Independent,Arizona,46573
1964,Total,Total,Arizona,480770
,"Johnson, Lyndon (LBJ)",Democratic,Arizona,237753
,"Goldwater, Barry",Republican,Arizona,242535
1960,Total,Total,Arizona,398491
,"Kennedy, Jack (JFK)",Democratic,Arizona,176781
,"Nixon, Richard",Republican,Arizona,221241
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Arizona,469
1956,Total,Total,Arizona,290173
,"Stevenson, Adlai",Democratic,Arizona,112880
,"Eisenhower, Dwight",Republican,Arizona,176990
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Arizona,303
1952,Total,Total,Arizona,260570
,"Stevenson, Adlai",Democratic,Arizona,108528
,"Eisenhower, Dwight",Republican,Arizona,152042
1948,Total,Total,Arizona,177065
,"Truman, Harry",Democratic,Arizona,95251
,"Dewey, Thomas",Republican,Arizona,77597
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Arizona,0
,"Wallace, Henry",Progressive,Arizona,3310
1944,Total,Total,Arizona,137634
,"Roosevelt, Franklin (FDR)",Democratic,Arizona,80926
,"Dewey, Thomas",Republican,Arizona,56287
1940,Total,Total,Arizona,150039
,"Roosevelt, Franklin (FDR)",Democratic,Arizona,95267
,"Wilkie, Wendell",Republican,Arizona,54030
1936,Total,Total,Arizona,124163
,"Roosevelt, Franklin (FDR)",Democratic,Arizona,86722
,"Landon, Alf",Republican,Arizona,33433
1932,Total,Total,Arizona,118251
,"Roosevelt, Franklin (FDR)",Democratic,Arizona,79264
,"Hoover, Herbert",Republican,Arizona,36104
,"Thomas, Norman",Socialist,Arizona,2618
1928,Total,Total,Arizona,91254
,"Smith, Al",Democratic,Arizona,38537
,"Hoover, Herbert",Republican,Arizona,52533
1924,Total,Total,Arizona,73961
,"Davis, John",Democratic,Arizona,26235
,"Coolidge, Calvin",Republican,Arizona,30516
,"LaFollette, Robert",Progressive,Arizona,17210
1920,Total,Total,Arizona,66562
,"Cox, John",Democratic,Arizona,29546
,"Harding, Warren",Republican,Arizona,37016
,"Debs, Eugene",Socialist,Arizona,0
1916,Total,Total,Arizona,58021
,"Wilson, Woodrow",Democratic,Arizona,33170
,"Hughes, Charles",Republican,Arizona,20524
,"Benson, Allan",Socialist,Arizona,3174
