Year,Candidate,Party,State,Votes
,"Coolidge, Calvin",Republican,Vermont,80498
,"LaFollette, Robert",Progressive,Vermont,5964
1920,Total,Total,Vermont,89961
,"Cox, John",Democratic,Vermont,20919
,"Harding, Warren",Republican,Vermont,68212
,"Debs, Eugene",Socialist,Vermont,0
1916,Total,Total,Vermont,64475
,"Wilson, Woodrow",Democratic,Vermont,22708
,"Hughes, Charles",Republican,Vermont,40250
,"Benson, Allan",Socialist,Vermont,798
1912,Total,Total,Vermont,62842
,"Wilson, Woodrow",Democratic,Vermont,15354
,"Taft, William",Republican,Vermont,23332
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Vermont,22132
,"Debs, Eugene",Socialist,Vermont,928
1908,Total,Total,Vermont,52680
,"Bryan, William",Democratic,Vermont,11496
,"Taft, William",Republican,Vermont,39552
,"Debs, Eugene",Socialist,Vermont,0
1904,Total,Total,Vermont,51888
,"Parker, Alton",Democratic,Vermont,9777
,"Roosevelt, Theodore (Teddy)",Republican,Vermont,40459
,"Debs, Eugene",Socialist,Vermont,859
1900,Total,Total,Vermont,56212
,"Bryan, William",Democratic,Vermont,12849
,"McKinley, William",Republican,Vermont,42569
1896,Total,Total,Vermont,63847
,"Bryan, William",Democratic,Vermont,10640
,"McKinley, William",Republican,Vermont,51127
1892,Total,Total,Vermont,55796
,"Cleveland, Grover",Democratic,Vermont,16325
,"Harrison, Benjamin",Republican,Vermont,37992
,"Weaver, James",Populist,Vermont,44
1888,Total,Total,Vermont,65452
,"Cleveland, Grover",Democratic,Vermont,16788
,"Harrison, Benjamin",Republican,Vermont,45192
1884,Total,Total,Vermont,59401
,"Cleveland, Grover",Democratic,Vermont,17331
,"Blaine, James",Republican,Vermont,39514
1880,Total,Total,Vermont,64594
,"Hancock, Winfield",Democratic,Vermont,18182
,"Garfield, James",Republican,Vermont,45091
,"Weaver, James",Greenback,Vermont,1212
1876,Total,Total,Vermont,64553
,"Tilden, Samuel",Democratic,Vermont,20254
,"Hayes, Rutherford",Republican,Vermont,44091
1872,Total,Total,Vermont,52980
,"Greeley, Horace",Liberal Republican/Democratic,Vermont,10926
,"Grant, Ulysses",Republican,Vermont,41480
1868,Total,Total,Vermont,56212
,"Seymour, Horatio",Democratic,Vermont,12045
,"Grant, Ulysses",Republican,Vermont,44167
1864,Total,Total,Vermont,55742
,"McClellan, George",Democratic,Vermont,13322
,"Lincoln, Abraham",National Union (Republican),Vermont,42420
1860,Total,Total,Vermont,44566
,"Douglas, Stephen",(Northern) Democratic,Vermont,8649
,"Lincoln, Abraham",Republican,Vermont,33808
,"Breckinridge, John",Southern Democratic,Vermont,1866
,"Bell, John",Constitutional Union,Vermont,217
1856,Total,Total,Vermont,50748
,"Buchanan, James",Democratic,Vermont,10577
,"Fremont, John",Republican,Vermont,39561
,"Fillmore, Millard","Fillmore, Millard",Vermont,545
1852,Total,Total,Vermont,43890
,"Pierce, Franklin",Democratic,Vermont,13044
,"Scott, Winfield",Whig,Vermont,22173
,"Hale, John",Free Soil,Vermont,8621
1848,Total,Total,Vermont,47922
,"Cass, Lewis",Democratic,Vermont,10948
,"Taylor, Zachary",Whig,Vermont,23132
,"Van Buren, Martin",Free Soil,Vermont,13837
1844,Total,Total,Vermont,48829
,"Polk, James",Democratic,Vermont,18049
,"Clay, Henry",Whig,Vermont,26780
,"Birney, James",Liberty,Vermont,3970
1840,Total,Total,Vermont,50773
,"Van Buren, Martin",Democratic,Vermont,18009
,"Harrison, William",Whig,Vermont,32445
1836,Total,Total,Vermont,35031
,"Van Buren, Martin",Democratic,Vermont,14037
,"Harrison, William",Whig,Vermont,20994
,"White, Hugh",Whig,Vermont,0
,"Webster, Daniel",Whig,Vermont,0
1832,Total,Total,Vermont,32128
,"Jackson, Andrew",Democratic,Vermont,7870
,"Clay, Henry",National Republican,Vermont,11152
,"Wirt, William",Anti-Masonic,Vermont,13106
1828,Total,Total,Vermont,33713
,"Jackson, Andrew",Democratic,Vermont,8350
,"Adams, John Quincy",National Republican,Vermont,25363
2016,Total,Total,Virginia,3982752
,"Clinton, Hillary",Democratic,Virginia,1981473
,"Trump, Donald",Republican,Virginia,1769443
,"Johnson, Gary",Libertarian,Virginia,118274
2012,Total,Total,Virginia,3854489
,"Obama, Barack",Democratic,Virginia,1971820
,"Romney, Mitt",Republican,Virginia,1822522
2008,Total,Total,Virginia,3723260
,"Obama, Barack",Democratic,Virginia,1959532
,"McCain, John",Republican,Virginia,1725005
2004,Total,Total,Virginia,3198367
,"Kerry, John",Democratic,Virginia,1454742
,"Bush, George W.",Republican,Virginia,1716959
2000,Total,Total,Virginia,2739447
,"Gore, Al",Democratic,Virginia,1217290
,"Bush, George W.",Republican,Virginia,1437490
,"Nader, Ralph",Green,Virginia,59398
1996,Total,Total,Virginia,2416642
,"Clinton, Bill",Democratic,Virginia,1091060
,"Dole, Bob",Republican,Virginia,1138350
,"Perot, Ross",Reform,Virginia,159861
1992,Total,Total,Virginia,2558665
,"Clinton, Bill",Democratic,Virginia,1038650
,"Bush, George H.W.",Republican,Virginia,1150517
,"Perot, Ross",Independent,Virginia,348639
1988,Total,Total,Virginia,2191609
,"Dukakis, Michael",Democratic,Virginia,859799
,"Bush, George H.W.",Republican,Virginia,1309162
1984,Total,Total,Virginia,2146635
,"Mondale, Walter",Democratic,Virginia,796250
,"Reagan, Ronald",Republican,Virginia,1337078
1980,Total,Total,Virginia,1866032
,"Carter, Jimmy",Democratic,Virginia,752174
,"Reagan, Ronald",Republican,Virginia,989609
,"Anderson, John",Independent,Virginia,95418
1976,Total,Total,Virginia,1697094
,"Carter, Jimmy",Democratic,Virginia,813896
,"Ford, Gerald",Republican,Virginia,836554
1972,Total,Total,Virginia,1457019
,"McGovern, George",Democratic,Virginia,438887
,"Nixon, Richard",Republican,Virginia,988493
1968,Total,Total,Virginia,1361491
,"Humphrey, Hubert",Democratic,Virginia,442387
,"Nixon, Richard",Republican,Virginia,590319
,"Wallace, George",American Independent,Virginia,321833
1964,Total,Total,Virginia,1042267
,"Johnson, Lyndon (LBJ)",Democratic,Virginia,558038
,"Goldwater, Barry",Republican,Virginia,481334
1960,Total,Total,Virginia,771449
,"Kennedy, Jack (JFK)",Democratic,Virginia,362327
,"Nixon, Richard",Republican,Virginia,404521
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Virginia,4601
1956,Total,Total,Virginia,697978
,"Stevenson, Adlai",Democratic,Virginia,267760
,"Eisenhower, Dwight",Republican,Virginia,386459
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Virginia,43759
1952,Total,Total,Virginia,619689
,"Stevenson, Adlai",Democratic,Virginia,268677
,"Eisenhower, Dwight",Republican,Virginia,349037
1948,Total,Total,Virginia,419256
,"Truman, Harry",Democratic,Virginia,200786
,"Dewey, Thomas",Republican,Virginia,172070
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Virginia,43393
,"Wallace, Henry",Progressive,Virginia,2047
1944,Total,Total,Virginia,388485
,"Roosevelt, Franklin (FDR)",Democratic,Virginia,242276
,"Dewey, Thomas",Republican,Virginia,145243
1940,Total,Total,Virginia,346607
,"Roosevelt, Franklin (FDR)",Democratic,Virginia,235961
,"Wilkie, Wendell",Republican,Virginia,109363
1936,Total,Total,Virginia,334590
,"Roosevelt, Franklin (FDR)",Democratic,Virginia,234980
,"Landon, Alf",Republican,Virginia,98336
1932,Total,Total,Virginia,297942
,"Roosevelt, Franklin (FDR)",Democratic,Virginia,203979
,"Hoover, Herbert",Republican,Virginia,89637
,"Thomas, Norman",Socialist,Virginia,2382
1928,Total,Total,Virginia,305358
,"Smith, Al",Democratic,Virginia,140146
,"Hoover, Herbert",Republican,Virginia,164609
1924,Total,Total,Virginia,223602
,"Davis, John",Democratic,Virginia,139716
,"Coolidge, Calvin",Republican,Virginia,73312
,"LaFollette, Robert",Progressive,Virginia,10377
1920,Total,Total,Virginia,230999
,"Cox, John",Democratic,Virginia,141670
,"Harding, Warren",Republican,Virginia,87456
,"Debs, Eugene",Socialist,Virginia,807
1916,Total,Total,Virginia,153992
,"Wilson, Woodrow",Democratic,Virginia,102824
,"Hughes, Charles",Republican,Virginia,49356
,"Benson, Allan",Socialist,Virginia,1062
1912,Total,Total,Virginia,136976
,"Wilson, Woodrow",Democratic,Virginia,90332
,"Taft, William",Republican,Virginia,23288
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Virginia,21777
,"Debs, Eugene",Socialist,Virginia,820
1908,Total,Total,Virginia,137065
,"Bryan, William",Democratic,Virginia,82946
,"Taft, William",Republican,Virginia,52572
,"Debs, Eugene",Socialist,Virginia,255
1904,Total,Total,Virginia,130410
,"Parker, Alton",Democratic,Virginia,80649
,"Roosevelt, Theodore (Teddy)",Republican,Virginia,48180
,"Debs, Eugene",Socialist,Virginia,202
1900,Total,Total,Virginia,264208
,"Bryan, William",Democratic,Virginia,146079
,"McKinley, William",Republican,Virginia,115769
1896,Total,Total,Virginia,294674
,"Bryan, William",Democratic,Virginia,154708
,"McKinley, William",Republican,Virginia,135379
1892,Total,Total,Virginia,292238
,"Cleveland, Grover",Democratic,Virginia,164136
,"Harrison, Benjamin",Republican,Virginia,113098
,"Weaver, James",Populist,Virginia,12275
1888,Total,Total,Virginia,304087
,"Cleveland, Grover",Democratic,Virginia,152004
,"Harrison, Benjamin",Republican,Virginia,150399
1884,Total,Total,Virginia,284977
,"Cleveland, Grover",Democratic,Virginia,145491
,"Blaine, James",Republican,Virginia,139356
1880,Total,Total,Virginia,211616
,"Hancock, Winfield",Democratic,Virginia,128083
,"Garfield, James",Republican,Virginia,83533
,"Weaver, James",Greenback,Virginia,0
1876,Total,Total,Virginia,236288
,"Tilden, Samuel",Democratic,Virginia,140770
,"Hayes, Rutherford",Republican,Virginia,95518
1872,Total,Total,Virginia,185195
,"Greeley, Horace",Liberal Republican/Democratic,Virginia,91647
,"Grant, Ulysses",Republican,Virginia,93463
1868,Total,Total,Virginia,
,"Seymour, Horatio",Democratic,Virginia,
,"Grant, Ulysses",Republican,Virginia,
1864,Total,Total,Virginia,
,"McClellan, George",Democratic,Virginia,
,"Lincoln, Abraham",National Union (Republican),Virginia,
1860,Total,Total,Virginia,166891
,"Douglas, Stephen",(Northern) Democratic,Virginia,16198
,"Lincoln, Abraham",Republican,Virginia,1887
,"Breckinridge, John",Southern Democratic,Virginia,74325
,"Bell, John",Constitutional Union,Virginia,74481
1856,Total,Total,Virginia,150233
,"Buchanan, James",Democratic,Virginia,90083
,"Fremont, John",Republican,Virginia,0
,"Fillmore, Millard","Fillmore, Millard",Virginia,60150
1852,Total,Total,Virginia,132604
,"Pierce, Franklin",Democratic,Virginia,73872
,"Scott, Winfield",Whig,Virginia,58732
,"Hale, John",Free Soil,Virginia,0
1848,Total,Total,Virginia,92004
,"Cass, Lewis",Democratic,Virginia,46739
,"Taylor, Zachary",Whig,Virginia,45265
,"Van Buren, Martin",Free Soil,Virginia,0
1844,Total,Total,Virginia,95539
,"Polk, James",Democratic,Virginia,50679
,"Clay, Henry",Whig,Virginia,44860
,"Birney, James",Liberty,Virginia,0
1840,Total,Total,Virginia,86394
,"Van Buren, Martin",Democratic,Virginia,43757
,"Harrison, William",Whig,Virginia,42637
1836,Total,Total,Virginia,53945
,"Van Buren, Martin",Democratic,Virginia,30556
,"Harrison, William",Whig,Virginia,0
,"White, Hugh",Whig,Virginia,23384
,"Webster, Daniel",Whig,Virginia,0
1832,Total,Total,Virginia,45682
,"Jackson, Andrew",Democratic,Virginia,34243
,"Clay, Henry",National Republican,Virginia,11436
,"Wirt, William",Anti-Masonic,Virginia,3
1828,Total,Total,Virginia,38924
,"Jackson, Andrew",Democratic,Virginia,26854
,"Adams, John Quincy",National Republican,Virginia,12070
2016,Total,Total,Washington,3316996
,"Clinton, Hillary",Democratic,Washington,1742718
,"Trump, Donald",Republican,Washington,1221747
,"Johnson, Gary",Libertarian,Washington,160879
2012,Total,Total,Washington,3145958
,"Obama, Barack",Democratic,Washington,1755396
,"Romney, Mitt",Republican,Washington,1290670
2008,Total,Total,Washington,3053261
,"Obama, Barack",Democratic,Washington,1750848
,"McCain, John",Republican,Washington,1229216
2004,Total,Total,Washington,2861713
,"Kerry, John",Democratic,Washington,1510201
,"Bush, George W.",Republican,Washington,1304894
2000,Total,Total,Washington,2488745
,"Gore, Al",Democratic,Washington,1247652
,"Bush, George W.",Republican,Washington,1108864
,"Nader, Ralph",Green,Washington,103002
1996,Total,Total,Washington,2253837
,"Clinton, Bill",Democratic,Washington,1123323
,"Dole, Bob",Republican,Washington,840712
,"Perot, Ross",Reform,Washington,201003
1992,Total,Total,Washington,2288230
,"Clinton, Bill",Democratic,Washington,993037
,"Bush, George H.W.",Republican,Washington,731234
,"Perot, Ross",Independent,Washington,541780
1988,Total,Total,Washington,1865253
,"Dukakis, Michael",Democratic,Washington,933516
,"Bush, George H.W.",Republican,Washington,903835
1984,Total,Total,Washington,1883910
,"Mondale, Walter",Democratic,Washington,807352
,"Reagan, Ronald",Republican,Washington,1051670
1980,Total,Total,Washington,1742394
,"Carter, Jimmy",Democratic,Washington,650193
,"Reagan, Ronald",Republican,Washington,865244
,"Anderson, John",Independent,Washington,185073
1976,Total,Total,Washington,1555534
,"Carter, Jimmy",Democratic,Washington,717323
,"Ford, Gerald",Republican,Washington,777732
1972,Total,Total,Washington,1470847
,"McGovern, George",Democratic,Washington,568334
,"Nixon, Richard",Republican,Washington,837135
1968,Total,Total,Washington,1304281
,"Humphrey, Hubert",Democratic,Washington,616037
,"Nixon, Richard",Republican,Washington,588510
,"Wallace, George",American Independent,Washington,96990
1964,Total,Total,Washington,1258556
,"Johnson, Lyndon (LBJ)",Democratic,Washington,779881
,"Goldwater, Barry",Republican,Washington,470366
1960,Total,Total,Washington,1241572
,"Kennedy, Jack (JFK)",Democratic,Washington,599298
,"Nixon, Richard",Republican,Washington,629273
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Washington,13001
1956,Total,Total,Washington,1150889
,"Stevenson, Adlai",Democratic,Washington,523002
,"Eisenhower, Dwight",Republican,Washington,620430
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Washington,7457
1952,Total,Total,Washington,1102708
,"Stevenson, Adlai",Democratic,Washington,492845
,"Eisenhower, Dwight",Republican,Washington,599107
1948,Total,Total,Washington,905059
,"Truman, Harry",Democratic,Washington,476165
,"Dewey, Thomas",Republican,Washington,386315
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Washington,0
,"Wallace, Henry",Progressive,Washington,31692
1944,Total,Total,Washington,856328
,"Roosevelt, Franklin (FDR)",Democratic,Washington,486774
,"Dewey, Thomas",Republican,Washington,361689
1940,Total,Total,Washington,793833
,"Roosevelt, Franklin (FDR)",Democratic,Washington,462145
,"Wilkie, Wendell",Republican,Washington,322123
1936,Total,Total,Washington,692338
,"Roosevelt, Franklin (FDR)",Democratic,Washington,459579
,"Landon, Alf",Republican,Washington,206892
1932,Total,Total,Washington,614814
,"Roosevelt, Franklin (FDR)",Democratic,Washington,353260
,"Hoover, Herbert",Republican,Washington,208645
,"Thomas, Norman",Socialist,Washington,17080
1928,Total,Total,Washington,500840
,"Smith, Al",Democratic,Washington,156772
,"Hoover, Herbert",Republican,Washington,335844
1924,Total,Total,Washington,421549
,"Davis, John",Democratic,Washington,42842
,"Coolidge, Calvin",Republican,Washington,220224
,"LaFollette, Robert",Progressive,Washington,150727
1920,Total,Total,Washington,398715
,"Cox, John",Democratic,Washington,84298
,"Harding, Warren",Republican,Washington,223137
,"Debs, Eugene",Socialist,Washington,8913
1916,Total,Total,Washington,380994
,"Wilson, Woodrow",Democratic,Washington,183388
,"Hughes, Charles",Republican,Washington,167208
,"Benson, Allan",Socialist,Washington,22800
1912,Total,Total,Washington,322799
,"Wilson, Woodrow",Democratic,Washington,86840
,"Taft, William",Republican,Washington,70445
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Washington,113698
,"Debs, Eugene",Socialist,Washington,40134
1908,Total,Total,Washington,183879
,"Bryan, William",Democratic,Washington,58691
,"Taft, William",Republican,Washington,106062
,"Debs, Eugene",Socialist,Washington,14177
1904,Total,Total,Washington,145151
,"Parker, Alton",Democratic,Washington,28098
,"Roosevelt, Theodore (Teddy)",Republican,Washington,101540
,"Debs, Eugene",Socialist,Washington,10023
1900,Total,Total,Washington,107524
,"Bryan, William",Democratic,Washington,44833
,"McKinley, William",Republican,Washington,57456
1896,Total,Total,Washington,93583
,"Bryan, William",Democratic,Washington,53314
,"McKinley, William",Republican,Washington,39153
1892,Total,Total,Washington,87969
,"Cleveland, Grover",Democratic,Washington,29802
,"Harrison, Benjamin",Republican,Washington,36460
,"Weaver, James",Populist,Washington,19165
1888,Total,Total,Washington,
,"Cleveland, Grover",Democratic,Washington,
,"Harrison, Benjamin",Republican,Washington,
1884,Total,Total,Washington,
,"Cleveland, Grover",Democratic,Washington,
,"Blaine, James",Republican,Washington,
1880,Total,Total,Washington,
,"Hancock, Winfield",Democratic,Washington,
,"Garfield, James",Republican,Washington,
,"Weaver, James",Greenback,Washington,
1876,Total,Total,Washington,
,"Tilden, Samuel",Democratic,Washington,
,"Hayes, Rutherford",Republican,Washington,
1872,Total,Total,Washington,
,"Greeley, Horace",Liberal Republican/Democratic,Washington,
,"Grant, Ulysses",Republican,Washington,
1868,Total,Total,Washington,
,"Seymour, Horatio",Democratic,Washington,
,"Grant, Ulysses",Republican,Washington,
1864,Total,Total,Washington,
,"McClellan, George",Democratic,Washington,
,"Lincoln, Abraham",National Union (Republican),Washington,
1860,Total,Total,Washington,
,"Douglas, Stephen",(Northern) Democratic,Washington,
,"Lincoln, Abraham",Republican,Washington,
,"Breckinridge, John",Southern Democratic,Washington,
,"Bell, John",Constitutional Union,Washington,
1856,Total,Total,Washington,
,"Buchanan, James",Democratic,Washington,
,"Fremont, John",Republican,Washington,
,"Fillmore, Millard","Fillmore, Millard",Washington,
1852,Total,Total,Washington,
,"Pierce, Franklin",Democratic,Washington,
,"Scott, Winfield",Whig,Washington,
,"Hale, John",Free Soil,Washington,
1848,Total,Total,Washington,
,"Cass, Lewis",Democratic,Washington,
,"Taylor, Zachary",Whig,Washington,
,"Van Buren, Martin",Free Soil,Washington,
1844,Total,Total,Washington,
,"Polk, James",Democratic,Washington,
,"Clay, Henry",Whig,Washington,
,"Birney, James",Liberty,Washington,
1840,Total,Total,Washington,
,"Van Buren, Martin",Democratic,Washington,
,"Harrison, William",Whig,Washington,
1836,Total,Total,Washington,
,"Van Buren, Martin",Democratic,Washington,
,"Harrison, William",Whig,Washington,
,"White, Hugh",Whig,Washington,
,"Webster, Daniel",Whig,Washington,
1832,Total,Total,Washington,
,"Jackson, Andrew",Democratic,Washington,
,"Clay, Henry",National Republican,Washington,
,"Wirt, William",Anti-Masonic,Washington,
1828,Total,Total,Washington,
,"Jackson, Andrew",Democratic,Washington,
,"Adams, John Quincy",National Republican,Washington,
2016,Total,Total,,136980
,"Clinton, Hillary",Democratic,,56266
,"Trump, Donald",Republican,,78984
,"Johnson, Gary",Libertarian,,1533
2012,Total,Total,,135191
,"Obama, Barack",Democratic,,44440
,"Romney, Mitt",Republican,,90404
2008,Total,Total,,102917
,"Obama, Barack",Democratic,,16124
,"McCain, John",Republican,,80498
2004,Total,Total,,5964
,"Kerry, John",Democratic,,89961
,"Bush, George W.",Republican,,20919
2000,Total,Total,,68212
,"Gore, Al",Democratic,,0
,"Bush, George W.",Republican,,64475
,"Nader, Ralph",Green,,22708
1996,Total,Total,,40250
,"Clinton, Bill",Democratic,,798
,"Dole, Bob",Republican,,62842
,"Perot, Ross",Reform,,15354
1992,Total,Total,,23332
,"Clinton, Bill",Democratic,,22132
,"Bush, George H.W.",Republican,,928
,"Perot, Ross",Independent,,52680
1988,Total,Total,,11496
,"Dukakis, Michael",Democratic,,39552
,"Bush, George H.W.",Republican,,0
1984,Total,Total,,51888
,"Mondale, Walter",Democratic,,9777
,"Reagan, Ronald",Republican,,40459
1980,Total,Total,,859
,"Carter, Jimmy",Democratic,,56212
,"Reagan, Ronald",Republican,,12849
,"Anderson, John",Independent,,42569
1976,Total,Total,,63847
,"Carter, Jimmy",Democratic,,10640
,"Ford, Gerald",Republican,,51127
1972,Total,Total,,55796
,"McGovern, George",Democratic,,16325
,"Nixon, Richard",Republican,,37992
1968,Total,Total,,44
,"Humphrey, Hubert",Democratic,,65452
,"Nixon, Richard",Republican,,16788
,"Wallace, George",American Independent,,45192
1964,Total,Total,,59401
,"Johnson, Lyndon (LBJ)",Democratic,,17331
,"Goldwater, Barry",Republican,,39514
1960,Total,Total,,64594
,"Kennedy, Jack (JFK)",Democratic,,18182
,"Nixon, Richard",Republican,,45091
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",,1212
1956,Total,Total,,64553
,"Stevenson, Adlai",Democratic,,20254
,"Eisenhower, Dwight",Republican,,44091
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",,52980
1952,Total,Total,,10926
,"Stevenson, Adlai",Democratic,,41480
,"Eisenhower, Dwight",Republican,,56212
1948,Total,Total,,12045
,"Truman, Harry",Democratic,,44167
,"Dewey, Thomas",Republican,,55742
,"Thurmond, Strom","States' Rights ""Dixiecrat""",,13322
,"Wallace, Henry",Progressive,,42420
1944,Total,Total,,44566
,"Roosevelt, Franklin (FDR)",Democratic,,8649
,"Dewey, Thomas",Republican,,33808
1940,Total,Total,,1866
,"Roosevelt, Franklin (FDR)",Democratic,,217
,"Wilkie, Wendell",Republican,,50748
1936,Total,Total,,10577
,"Roosevelt, Franklin (FDR)",Democratic,,39561
,"Landon, Alf",Republican,,545
1932,Total,Total,,43890
,"Roosevelt, Franklin (FDR)",Democratic,,13044
,"Hoover, Herbert",Republican,,22173
,"Thomas, Norman",Socialist,,8621
1928,Total,Total,,47922
,"Smith, Al",Democratic,,10948
,"Hoover, Herbert",Republican,,23132
1924,Total,Total,,13837
,"Davis, John",Democratic,,48829
,"Coolidge, Calvin",Republican,,18049
,"LaFollette, Robert",Progressive,,26780
1920,Total,Total,,3970
,"Cox, John",Democratic,,50773
,"Harding, Warren",Republican,,18009
,"Debs, Eugene",Socialist,,32445
1916,Total,Total,,35031
,"Wilson, Woodrow",Democratic,,14037
,"Hughes, Charles",Republican,,20994
,"Benson, Allan",Socialist,,0
1912,Total,Total,,0
,"Wilson, Woodrow",Democratic,,32128
,"Taft, William",Republican,,7870
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",,11152
,"Debs, Eugene",Socialist,,13106
1908,Total,Total,,33713
,"Bryan, William",Democratic,,8350
,"Taft, William",Republican,,25363
2016,Total,Total,Virginia,3982752
,"Clinton, Hillary",Democratic,Virginia,1981473
,"Trump, Donald",Republican,Virginia,1769443
,"Johnson, Gary",Libertarian,Virginia,118274
2012,Total,Total,Virginia,3854489
,"Obama, Barack",Democratic,Virginia,1971820
,"Romney, Mitt",Republican,Virginia,1822522
2008,Total,Total,Virginia,3723260
,"Obama, Barack",Democratic,Virginia,1959532
,"McCain, John",Republican,Virginia,1725005
2004,Total,Total,Virginia,3198367
,"Kerry, John",Democratic,Virginia,1454742
,"Bush, George W.",Republican,Virginia,1716959
2000,Total,Total,Virginia,2739447
,"Gore, Al",Democratic,Virginia,1217290
,"Bush, George W.",Republican,Virginia,1437490
,"Nader, Ralph",Green,Virginia,59398
1996,Total,Total,Virginia,2416642
,"Clinton, Bill",Democratic,Virginia,1091060
,"Dole, Bob",Republican,Virginia,1138350
,"Perot, Ross",Reform,Virginia,159861
1992,Total,Total,Virginia,2558665
,"Clinton, Bill",Democratic,Virginia,1038650
,"Bush, George H.W.",Republican,Virginia,1150517
,"Perot, Ross",Independent,Virginia,348639
1988,Total,Total,Virginia,2191609
,"Dukakis, Michael",Democratic,Virginia,859799
,"Bush, George H.W.",Republican,Virginia,1309162
1984,Total,Total,Virginia,2146635
,"Mondale, Walter",Democratic,Virginia,796250
,"Reagan, Ronald",Republican,Virginia,1337078
1980,Total,Total,Virginia,1866032
,"Carter, Jimmy",Democratic,Virginia,752174
,"Reagan, Ronald",Republican,Virginia,989609
,"Anderson, John",Independent,Virginia,95418
1976,Total,Total,Virginia,1697094
,"Carter, Jimmy",Democratic,Virginia,813896
,"Ford, Gerald",Republican,Virginia,836554
1972,Total,Total,Virginia,1457019
,"McGovern, George",Democratic,Virginia,438887
,"Nixon, Richard",Republican,Virginia,988493
1968,Total,Total,Virginia,1361491
,"Humphrey, Hubert",Democratic,Virginia,442387
,"Nixon, Richard",Republican,Virginia,590319
,"Wallace, George",American Independent,Virginia,321833
1964,Total,Total,Virginia,1042267
,"Johnson, Lyndon (LBJ)",Democratic,Virginia,558038
,"Goldwater, Barry",Republican,Virginia,481334
1960,Total,Total,Virginia,771449
,"Kennedy, Jack (JFK)",Democratic,Virginia,362327
,"Nixon, Richard",Republican,Virginia,404521
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Virginia,4601
1956,Total,Total,Virginia,697978
,"Stevenson, Adlai",Democratic,Virginia,267760
,"Eisenhower, Dwight",Republican,Virginia,386459
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Virginia,43759
1952,Total,Total,Virginia,619689
,"Stevenson, Adlai",Democratic,Virginia,268677
,"Eisenhower, Dwight",Republican,Virginia,349037
1948,Total,Total,Virginia,419256
,"Truman, Harry",Democratic,Virginia,200786
,"Dewey, Thomas",Republican,Virginia,172070
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Virginia,43393
,"Wallace, Henry",Progressive,Virginia,2047
1944,Total,Total,Virginia,388485
,"Roosevelt, Franklin (FDR)",Democratic,Virginia,242276
,"Dewey, Thomas",Republican,Virginia,145243
1940,Total,Total,Virginia,346607
,"Roosevelt, Franklin (FDR)",Democratic,Virginia,235961
,"Wilkie, Wendell",Republican,Virginia,109363
1936,Total,Total,Virginia,334590
,"Roosevelt, Franklin (FDR)",Democratic,Virginia,234980
,"Landon, Alf",Republican,Virginia,98336
1932,Total,Total,Virginia,297942
,"Roosevelt, Franklin (FDR)",Democratic,Virginia,203979
,"Hoover, Herbert",Republican,Virginia,89637
,"Thomas, Norman",Socialist,Virginia,2382
1928,Total,Total,Virginia,305358
,"Smith, Al",Democratic,Virginia,140146
,"Hoover, Herbert",Republican,Virginia,164609
1924,Total,Total,Virginia,223602
,"Davis, John",Democratic,Virginia,139716
,"Coolidge, Calvin",Republican,Virginia,73312
,"LaFollette, Robert",Progressive,Virginia,10377
1920,Total,Total,Virginia,230999
,"Cox, John",Democratic,Virginia,141670
,"Harding, Warren",Republican,Virginia,87456
,"Debs, Eugene",Socialist,Virginia,807
1916,Total,Total,Virginia,153992
,"Wilson, Woodrow",Democratic,Virginia,102824
,"Hughes, Charles",Republican,Virginia,49356
,"Benson, Allan",Socialist,Virginia,1062
1912,Total,Total,Virginia,136976
,"Wilson, Woodrow",Democratic,Virginia,90332
,"Taft, William",Republican,Virginia,23288
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Virginia,21777
,"Debs, Eugene",Socialist,Virginia,820
1908,Total,Total,Virginia,137065
,"Bryan, William",Democratic,Virginia,82946
,"Taft, William",Republican,Virginia,52572
,"Debs, Eugene",Socialist,Virginia,255
1904,Total,Total,Virginia,130410
,"Parker, Alton",Democratic,Virginia,80649
,"Roosevelt, Theodore (Teddy)",Republican,Virginia,48180
,"Debs, Eugene",Socialist,Virginia,202
1900,Total,Total,Virginia,264208
,"Bryan, William",Democratic,Virginia,146079
,"McKinley, William",Republican,Virginia,115769
1896,Total,Total,Virginia,294674
,"Bryan, William",Democratic,Virginia,154708
